0,2.104
0.2,2.113
0.4,2.125
0.6,2.136
0.8,2.146
1,2.161
1.2,2.172
1.4,2.189
1.6,2.202
1.8,2.217
2,2.232
2.2,2.248
2.4,2.262
2.6,2.278
2.8,2.294
3,2.311
3.2,2.329
3.4,2.347
3.6,2.366
3.8,2.384
4,2.405
4.2,2.426
4.4,2.448
4.6,2.469
4.8,2.493
5,2.517
5.2,2.544
5.4,2.57
5.6,2.599
5.8,2.631
6,2.662
6.2,2.697
6.4,2.733
6.6,2.772
6.8,2.817
7,2.864
7.2,2.916
7.4,2.975
7.6,3.042
7.8,3.116
8,3.208
8.2,3.317
8.4,3.453
8.6,3.648
8.8,3.933
9,4.294
9.2,4.617
9.4,4.836
9.6,4.998
9.8,5.122
10,5.225
10.2,5.311
10.4,5.384
10.6,5.455
10.8,5.518
11,5.572
11.2,5.627
11.4,5.675
11.6,5.722
11.8,5.765
12,5.809
12.2,5.847
12.4,5.886
12.6,5.924
12.8,5.962
13,6.001
13.2,6.035
13.4,6.068
13.6,6.104
13.8,6.139
14,6.174
14.2,6.209
14.4,6.242
14.6,6.277
14.8,6.312
15,6.346
15.2,6.381
15.4,6.417
15.6,6.455
15.8,6.489
16,6.53
16.2,6.573
16.4,6.614
16.6,6.656
16.8,6.698
17,6.749
17.2,6.799
17.4,6.852
17.6,6.91
17.8,6.973
18,7.042
18.2,7.12
18.4,7.21
18.6,7.318
18.8,7.454
19,7.634
19.2,7.895
19.4,8.313
19.6,8.908
19.8,9.377
20,9.672
20.2,9.88
20.4,10.053
,
Results,
Name:,2B
&,15:53
Size:,mL
Point,20.338
Fixed,Point:
3.0526,
&,pH:
Duration:,[mm:ss]
went,Completion
,
Signature:,
