Nr Volume[mL]      mV      pH  Graphic Temp.[°C]    Time ,
,   0      0.000  -170.2  10.372      0.0  23.5  A 00:00:00 
,   1      0.200  -159.6  10.164     10.2  23.4  A 00:00:12 
,   2      0.400  -143.8   9.854      9.9  23.4  A 00:00:30 
,   3      0.600  -134.2   9.666      9.7  23.4  A 00:00:43 
,   4      0.800  -126.3   9.510      9.5  23.4  A 00:00:55 
,   5      1.000  -119.7   9.381      9.4  23.4  A 00:01:07 
,   6      1.200  -114.9   9.286      9.3  23.3  A 00:01:16 
,   7      1.400  -109.6   9.182      9.2  23.3  A 00:01:28 
,   8      1.600  -105.8   9.107      9.1  23.3  A 00:01:37 
,   9      1.800  -103.1   9.054      9.1  23.3  A 00:01:42 
,  10      2.000   -99.7   8.987      9.0  23.3  A 00:01:48 
,  11      2.200   -95.2   8.899      8.9  23.3  A 00:01:58 
,  12      2.400   -91.7   8.830      8.8  23.3  A 00:02:06 
,  13      2.600   -89.4   8.786      8.8  23.2  A 00:02:13 
,  14      2.800   -86.2   8.722      8.7  23.2  A 00:02:21 
,  15      3.000   -83.9   8.678      8.7  23.2  A 00:02:26 
,  16      3.200   -81.5   8.631      8.6  23.2  A 00:02:31 
,  17      3.400   -78.1   8.563      8.6  23.2  A 00:02:38 
,  18      3.600   -74.9   8.500      8.5  23.2  A 00:02:47 
,  19      3.800   -72.8   8.459      8.5  23.2  A 00:02:52 
,  20      4.000   -70.4   8.411      8.4  23.2  A 00:02:58 
,  21      4.200   -68.1   8.367      8.4  23.1  A 00:03:04 
,  22      4.400   -64.9   8.305      8.3  23.1  A 00:03:11 
,  23      4.600   -61.3   8.234      8.2  23.1  A 00:03:19 
,  24      4.800   -59.1   8.190      8.2  23.1  A 00:03:26 
,  25      5.000   -56.2   8.132      8.1  23.1  A 00:03:33 
,  26      5.200   -52.7   8.063      8.1  23.1  A 00:03:40 
,  27      5.400   -49.6   8.002      8.0  23.1  A 00:03:48 
,  28      5.600   -46.2   7.935      7.9  23.1  A 00:03:56 
,  29      5.800   -42.2   7.857      7.9  23.0  A 00:04:06 
,  30      6.000   -38.7   7.789      7.8  23.0  A 00:04:14 
,  31      6.200   -33.3   7.682      7.7  23.0  A 00:04:26 
,  32      6.400   -28.9   7.596      7.6  23.0  A 00:04:36 
,  33      6.600   -23.6   7.492      7.5  23.0  A 00:04:46 
,  34      6.800   -15.7   7.335      7.3  23.0  A 00:05:00 
,  35      7.000    -6.0   7.145      7.1  22.9  A 00:05:15 
,  36      7.200     7.7   6.893      6.9  22.9  A 00:05:33 
,  37      7.400    32.7   6.457      6.5  22.9  A 00:05:54 
,  38      7.600   164.6   4.163      4.2  22.8  A 00:06:15 
,  39      7.800   191.7   3.691      3.7  22.8  A 00:06:25 
,  40      8.000   204.4   3.470      3.5  22.8  A 00:06:33 
,  41      8.200   212.6   3.328      3.3  22.8  A 00:06:40 
,  42      8.400   218.8   3.220      3.2  22.8  A 00:06:45 
,  43      8.600   223.6   3.136      3.1  22.8  A 00:06:50 
,  44      8.800   228.1   3.057      3.1  22.8  A 00:06:56 
,  45      9.000   231.5   2.998      3.0  22.8  A 00:07:02 
,  46      9.200   234.4   2.948      2.9  22.8  A 00:07:06 
,  47      9.400   237.4   2.895      2.9  22.7  A 00:07:11 
,  48      9.600   239.4   2.860      2.9  22.7  A 00:07:15 
,  49      9.800   242.1   2.814      2.8  22.7  A 00:07:20 
,  50     10.000   244.2   2.777      2.8  22.7  A 00:07:24 
,  51     10.200   245.9   2.746      2.7  22.7  A 00:07:27 
,  52     10.400   247.7   2.716      2.7  22.7  A 00:07:31 
,  53     10.600   249.4   2.687      2.7  22.7  A 00:07:34 
,  54     10.800   251.0   2.658      2.7  22.7  A 00:07:39 
,  55     11.000   252.3   2.635      2.6  22.7  A 00:07:42 
,  56     11.200   253.8   2.610      2.6  22.7  A 00:07:46 
,  57     11.400   255.0   2.588      2.6  22.7  A 00:07:49 
,  58     11.600   256.3   2.566      2.6  22.7  A 00:07:53 
,  59     11.800   257.4   2.546      2.5  22.7  A 00:07:56 
,  60     12.000   258.5   2.526      2.5  22.7  A 00:08:00 
,  61     12.200   259.6   2.507      2.5  22.7  A 00:08:03 
,  62     12.400   260.7   2.488      2.5  22.6  A 00:08:07 
